1218,42.0-130.0,16,0.17,0.42,33,0.4
1292,42.0-130.0,12,0.21,0.53,26,0.4
1395,42.0-130.0,12,0.23,0.57,36,0.4
142,42.0-130.0,10,0.25,0.53,27,0.48
1425,42.0-130.0,14,0.19,0.47,37,0.4
1582,42.0-130.0,19,0.33,0.49,41,0.68
1618,42.0-130.0,19,0.21,0.53,43,0.4
1638,42.0-130.0,13,0.2,0.5,23,0.4
1654,42.0-130.0,10,0.25,0.49,28,0.52
1666,42.0-130.0,20,0.55,0.55,39,1.0
1675,42.0-130.0,12,0.23,0.47,33,0.48
1732,42.0-130.0,20,0.22,0.56,39,0.4
1751,42.0-130.0,14,0.25,0.57,36,0.44
1771,42.0-130.0,12,0.38,0.64,36,0.6
1988,42.0-130.0,17,0.39,0.46,27,0.84
2017,42.0-130.0,14,0.28,0.63,39,0.44
2091,42.0-130.0,14,0.18,0.45,39,0.4
2100,42.0-130.0,20,0.26,0.64,35,0.4
220,42.0-130.0,12,0.18,0.42,22,0.44
2220,42.0-130.0,13,0.18,0.45,34,0.4
2324,42.0-130.0,11,0.22,0.56,23,0.4
2353,42.0-130.0,16,0.21,0.48,28,0.44
2380,42.0-130.0,18,0.4,0.55,35,0.72
2495,42.0-130.0,16,0.46,0.58,41,0.8
2618,42.0-130.0,18,0.24,0.54,43,0.44
2697,42.0-130.0,16,0.24,0.49,34,0.48
2710,42.0-130.0,15,0.23,0.58,38,0.4
316,42.0-130.0,13,0.46,0.57,24,0.8
365,42.0-130.0,14,0.25,0.52,33,0.48
368,42.0-130.0,17,0.21,0.52,39,0.4
47,42.0-130.0,17,0.29,0.72,40,0.4
506,42.0-130.0,15,0.31,0.59,35,0.52
558,42.0-130.0,19,0.23,0.57,33,0.4
624,42.0-130.0,20,0.25,0.62,37,0.4
628,42.0-130.0,19,0.3,0.57,31,0.52
640,42.0-130.0,17,0.36,0.57,42,0.64
699,42.0-130.0,11,0.52,0.65,24,0.8
781,42.0-130.0,17,0.24,0.6,30,0.4
853,42.0-130.0,12,0.2,0.5,34,0.4
976,42.0-130.0,12,0.22,0.55,24,0.4
1005,43.0-130.0,15,0.22,0.54,29,0.4
1023,43.0-130.0,10,0.3,0.63,26,0.48
104,43.0-130.0,14,0.28,0.64,38,0.44
1101,43.0-130.0,20,0.2,0.5,32,0.4
1112,43.0-130.0,17,0.22,0.55,30,0.4
1218,43.0-130.0,13,0.18,0.42,36,0.44
1253,43.0-130.0,12,0.26,0.6,26,0.44
1274,43.0-130.0,14,0.25,0.57,28,0.44
1292,43.0-130.0,18,0.21,0.53,31,0.4
1317,43.0-130.0,10,0.32,0.66,34,0.48
1329,43.0-130.0,19,0.2,0.51,40,0.4
